"","KH_1KO_L7_trim_paired_alPEv3.BAM","KH_2WT_L2_trim_paired_alPEv3.BAM","KH_3KO_L5_trim_paired_alPEv3.BAM","KH_4WT_L3_trim_paired_alPEv3.BAM","KH_6WT_L6_trim_paired_alPEv3.BAM","KH10KO_L1_trim_paired_alPEv3.BAM","KH7WT_L4_trim_paired_alPEv3.BAM","KH9KO_L8_trim_paired_alPEv3.BAM"
"Xkr4",44.06,12.9,20.35,16.95,10.74,16.59,10.07,13.85
"Gm38717",1.2,1.6,0.27,1.81,4.5,0.67,2,0.17
"Rp1",6.5,4.62,2.2,2.44,4.8,12.1,2.73,8.1
"Sox17",0,2,0,0,0,0,0,0
"Mrpl15",1077.5,588,953.5,848,854,992,888,939
"Lypla1",1790.95,1104,2082.5,1777.17,1716.5,1381.5,1644,1956.11
"Tcea1",1621.08,1041.88,1510.83,1416.64,1222.4,1017.48,1206.83,1348.08
"Rgs20",28.2,12.61,17.25,1.36,5.6,9.89,10.31,3.29
"Atp6v1h",1336.11,909,1359.33,1325.67,1136,1051.11,1171.11,1284
"Oprk1",0,0,0,0,0,0,0,0
"Npbwr1",0,0,0,0,0,0,0,0
"Rb1cc1",1618,1322,1867,2377,2136.5,1261.73,1874,1727
"Fam150a",47,32,43,31.33,51.33,21,35.5,37.83
"St18",10.57,1,6.75,2.59,7.59,1.64,4.44,3.68
"Pcmtd1",1265.16,1124.2,1627.28,2043.66,1709.86,972.5,1648.16,1538.17
"Sntg1",2812.12,1547.58,2954.45,2057.37,1899.18,1817.33,1749.62,2392.07
"Rrs1",824.5,593,783.5,754.5,733.25,805.17,710.83,694.67
"Adhfe1",1819.39,871.72,1543,1292.75,1233.41,1644.94,1286.45,1501.69
"3110035E14Rik",1,0,0,0,0,0,0,0.33
"Mybl1",138,39,101.14,38,61,60,50,132
"Vcpip1",2055,1255,2450,2087.5,1881,1621.17,1732,2030.33
"Sgk3",590.5,543.67,701,836,752,519,782,642
"Mcmdc2",362,214,186.2,242.33,206.33,276.17,211.67,189
"Tcf24",3,0,0,0,0,0,1,0
"Ppp1r42",3,1.25,0,3.17,4.67,7,0,2.17
"Cops5",1810,975,1538,1484,1538,1398.33,1573,1494
"Cspp1",1378.11,971.17,1142.2,1405.51,1229.11,1068.75,1257.08,1134.2
"Arfgef1",2934.5,1801.25,4225,3017,2763,2252,2616.5,3630.5
"Cpa6",21.71,5.17,4.97,3.88,3.28,6.24,5.4,7.02
"Prex2",7.22,6.95,14.49,7.96,7.39,2.79,7.41,3.08
"A830018L16Rik",60.92,23.18,60.44,39.1,39.51,37.73,32.23,53.74
"Sulf1",22.58,10.33,2.96,4.67,9.81,7.33,4.17,2.33
"Slco5a1",76.4,23.4,6,1.9,1.25,9.4,4.25,6
"Prdm14",1,0,3,2,0,2,0,1
"Ncoa2",2418.62,1922.67,3571.52,2816.94,2531.43,1704,2679.41,2721
"Tram1",3330,1927,3480,3027,3021,2592,2985,3136
"Lactb2",315.5,158,399.5,392,384,236.5,330.7,369.5
"Xkr9",0,0,0,0,0,0,0,0
"Eya1",7.2,2,0,1,0.33,4.25,0,1.1
"Msc",3,3,1,0,0,0,0,1
"Trpa1",6,4.5,2,0,1,1,1,0
"Kcnb2",2.45,1,0.98,6.33,0.5,0,2,1
"Terf1",1007.5,705,862.83,1045,902.25,687,842,745.2
"Sbspon",109.42,47.55,79.34,76.22,85.89,69.02,62.61,66.87
"4930444P10Rik",4,1,0,0,3,1,0,2
