"","CD4Tfh_1","CD4Tfh_2","CD8Tfc_1","CD8Tfc_2"
"Xkr4",24.23,31.4,27.16,19.38
"Gm38717",0.1,1.64,2.5,0
"Rp1",1,1,3.33,1.33
"Sox17",0,0,0,0
"Mrpl15",1390,1183.5,1071,894
"Lypla1",2429.33,1922,1444.5,1503.67
"Tcea1",2348.45,1934.38,1503.83,1401.57
"Rgs20",10.5,20.44,13.82,20.89
"Atp6v1h",1685,1482,1300,1208
"Oprk1",0,0,0,0
"Npbwr1",0,0,0,0
"Rb1cc1",1993.5,2300,1672.25,1860.5
"Fam150a",35.5,44.67,22,30
"St18",5.48,11.82,10.18,9.57
"Pcmtd1",1778.7,1878.67,1197.83,1444.42
"Sntg1",3167.13,3009.44,2144.4,2265.14
"Rrs1",436.33,606.33,480.83,587.83
"Adhfe1",1853.47,1537.78,1407.55,1170.01
"3110035E14Rik",0,0,0,0
"Mybl1",52.5,51,87.5,21
"Vcpip1",1982.92,2577,1719.67,2098
"Sgk3",404,302,312.25,269.5
"Mcmdc2",210,179.14,160.83,140
"Tcf24",0,0,0,0
"Ppp1r42",0,1.25,1,0.25
"Cops5",2268.5,1778.5,1339,1337
"Cspp1",805.5,1089,1072,907.37
"Arfgef1",4771,6397.79,3934.33,5369.5
"Cpa6",10.18,9.08,19.11,10.75
"Prex2",7.15,18,4.98,14.07
"A830018L16Rik",58.59,53.67,53.79,48.66
"Sulf1",10.14,9.26,6.17,3.5
"Slco5a1",8,10.17,16.25,10
"Prdm14",1.14,0,3,0
"Ncoa2",2914.94,4176.1,2624.81,3704.3
"Tram1",4359.11,4040,3142,3305
"Lactb2",465.5,423,283,422.5
"Xkr9",0,0,0,1
"Eya1",0.2,0.33,6,0
"Msc",6,5,3,1
"Trpa1",4,4.5,1.5,2
"Kcnb2",0.48,1.45,0,2.51
"Terf1",844,1040,717,641
"Sbspon",78.55,133.28,104.91,126.62
"4930444P10Rik",2,0,2,1
"Rpl7",31074.44,17887.96,17372.17,17372.83
"Rdh10",292,382,211,278
"Stau2",278.1,298.11,86.73,63.2
"Ube2w",726.4,729.17,581.25,512
"LOC108167614",0,0,0,0
"Tceb1",2660.83,1714,1255.67,1363.5
