,Gene.Class,gene
Cxcr5,Follicular Markers,Cxcr5
Il6ra,Follicular Markers,Il6ra
Il21,Follicular Markers,Il21
Icos,Follicular Markers,Icos
Bcl6,Follicular Markers,Bcl6
Cd28,Follicular Markers,Cd28
Pdcd1,Follicular Markers,Pdcd1
Tnfsf4,Follicular Markers,Tnfsf4
Tnfsf8,Follicular Markers,Tnfsf8
Cd200,Follicular Markers,Cd200
Vdr,Follicular Markers,Vdr
Btla,Follicular Markers,Btla
Il4ra,Follicular Markers,Il4ra
Prf1,Effector Markers,Prf1
Gzmb,Effector Markers,Gzmb
Gzmk,Effector Markers,Gzmk
Ifng,Effector Markers,Ifng
Prdm1,Effector Markers,Prdm1
Fasl,Effector Markers,Fasl
Ctsw,Effector Markers,Ctsw
Ctla4,Effector Markers,Ctla4
Lag3,Exhaustion Markers,Lag3
Havcr2,Exhaustion Markers,Havcr2
Klrg1,Exhaustion Markers,Klrg1
Gzmk1,Exhaustion Markers,Gzmk
Tox2,Exhaustion Markers,Tox2
Tox,Exhaustion Markers,Tox
Cd244,Exhaustion Markers,Cd244
Cd160,Exhaustion Markers,Cd160
Tnfrsf9,Exhaustion Markers,Tnfrsf9
Cx3cr1,Memory Markers,Cx3cr1
Xcl1,Memory Markers,Xcl1
Il7r,Memory Markers,Il7r
Bhlhe40,Memory Markers,Bhlhe40
Eomes,Memory Markers,Eomes
Tbx21,Memory Markers,Tbx21
