SYMBOL,ENTREZID,GENENAME,logFC,AveExpr,t,P.Value,adj.P.Val,B
Cd8b1,12526,"CD8 antigen, beta chain 1",7.014178156848493,7.886635453851562,31.31396849850326,1.0405677771799484e-11,1.3202723956859184e-7,15.331578690995892
Ctsw,13041,cathepsin W,3.5655713697083176,7.913092945879452,22.548774551106195,3.116995500113618e-10,1.9774219452720795e-6,13.918566035950716
Cd8a,12525,"CD8 antigen, alpha chain",9.341122566305597,8.214263991399156,20.935531723137927,7.580304297798313e-10,3.2059633643488327e-6,11.504125377160456
Sostdc1,66042,sclerostin domain containing 1,-3.7064317859066382,2.2914133295691523,-18.978682289149766,1.8285088570693204e-9,5.800030094623884e-6,12.160639649905079
Cd40lg,21947,CD40 ligand,-5.233761812643044,3.144166191661695,-18.45146189233624,2.4383003661746436e-9,5.9994294507035e-6,11.747964593740546
Kirrel3,67703,kirre like nephrin family adhesion molecule 3,-3.998927483029054,2.4841317066941753,-17.910812136522697,3.302298060470738e-9,5.9994294507035e-6,11.347999486356198
Smtn,29856,smoothelin,-4.288117737187779,4.016401231510174,-17.90677146469291,3.3098996023742513e-9,5.9994294507035e-6,11.6941453527906
Il21_1,NA,NA,-3.8595465826621966,2.112407385084359,-16.931595473791333,5.850911883906931e-9,8.3807927088342e-6,10.989104258356436
Il21_2,NA,NA,-3.858953323037957,2.112248598016767,-16.905084359141938,5.944761536846453e-9,8.3807927088342e-6,10.975334992635005
Ntrk3,18213,"neurotrophic tyrosine kinase, receptor, type 3",-3.041198556998531,4.0569002520967326,-16.128323406960146,9.577321542713968e-9,1.2151705573395482e-5,10.7142415614049
Vdr,22337,"vitamin D (1,25-dihydroxyvitamin D3) receptor",-4.921114503214496,1.247949329150499,-15.694449515959187,1.2618327767466925e-8,1.4521571968613108e-5,9.813177523779421
Nav2,78286,neuron navigator 2,-4.22666121729784,3.4287156048021394,-15.647628445053519,1.4566471259951863e-8,1.4521571968613108e-5,10.289590136234253
Maf,17132,avian musculoaponeurotic fibrosarcoma oncogene homolog,-3.104923949080071,4.448004069091722,-15.440367820693467,1.4878659803906873e-8,1.4521571968613108e-5,10.325713083549829
Atp8b4,241633,"ATPase, class I, type 8B, member 4",3.6276130917115843,6.475712783979664,14.779350714879957,2.3117967929400342e-8,1.9939853414139433e-5,9.830815996801995
Crtam,54698,cytotoxic and regulatory T cell molecule,3.0773519606728827,6.545850954115434,14.75070479353237,2.357328193664025e-8,1.9939853414139433e-5,9.883982670630619
Izumo1r,64931,"IZUMO1 receptor, JUNO",-2.233785162752895,6.457110292804087,-14.587773499786312,2.6356387405731428e-8,2.0900615212745022e-5,9.775825993680407
Ptpn5,19259,"protein tyrosine phosphatase, non-receptor type 5",-3.5001388600591525,1.2081848622797984,-14.378446369068724,3.047079212930765e-8,2.262743785168768e-5,9.413978502377745
2610042L04Rik,554327,RIKEN cDNA 2610042L04 gene,-2.895453185949144,2.7974656424844846,-14.24460760261829,3.346591646709362e-8,2.262743785168768e-5,9.473519083016917
Il21,60505,interleukin 21,-4.181633669653244,0.481615411723615,-14.226966418364949,3.388408883843521e-8,2.262743785168768e-5,8.90294313655
Nrp1,18186,neuropilin 1,-2.190557095405426,4.684219990664073,-13.46186263775158,5.887540677128616e-8,3.6792173496314886e-5,8.979382498719081
Coro2b,235431,"coronin, actin binding protein, 2B",-4.106300133273038,2.629726576227407,-13.454505440594478,6.089499081199659e-8,3.6792173496314886e-5,8.871477963154973
Nkg7,72310,natural killer cell group 7 sequence,2.0958065321040182,8.427107404615894,13.307741746027176,6.603149687244021e-8,3.808216510534188e-5,8.863709320726754
Ccdc67,NA,NA,-4.434229682566323,0.6787522106094073,-12.768597443462278,9.958276242860265e-8,5.4217806858114704e-5,8.005537603658938
Mylk2,228785,"myosin, light polypeptide kinase 2, skeletal muscle",-3.8496579146013077,0.7691972881834046,-12.730752649269025,1.0255575067739226e-7,5.4217806858114704e-5,8.292157940422257
Msra,110265,methionine sulfoxide reductase A,-2.052826571853066,4.667777347685224,-12.631574394177932,1.1081584799457884e-7,5.5324131386437084e-5,8.351750887921055
D830030K20Rik,320333,RIKEN cDNA D830030K20 gene,-2.9210035818419975,1.5663774296057573,-12.602540229740352,1.1336912169351862e-7,5.5324131386437084e-5,8.124641620537359
Asb2,65256,ankyrin repeat and SOCS box-containing 2,-4.977011239791323,1.1652558557581258,-12.50818173863302,1.5112872924216209e-7,7.101930802313157e-5,7.926555145568631
Wdfy2,268752,WD repeat and FYVE domain containing 2,-1.8532191618072371,4.870477427107035,-12.138267317376197,1.64243542512357e-7,7.416712398209241e-5,7.946089421917636
Wisp1,NA,NA,-3.52761844339432,1.1121034480751297,-12.073669338576922,1.7310783232658585e-7,7.416712398209241e-5,7.688612583318207
Dtx4,207521,"deltex 4, E3 ubiquitin ligase",-2.1819683282797215,2.0241825713864205,-12.057804749486282,1.753636285831315e-7,7.416712398209241e-5,7.875133566386134
Ryr2,20191,"ryanodine receptor 2, cardiac",-3.5550712716494117,3.1558067074609513,-12.098267514784222,2.0084037809563818e-7,8.22020231379825e-5,7.7790886321070225
Gm3488,100041735,"predicted gene, 3488",-2.4958255238204297,2.9436448326932636,-11.795422868584241,2.177137203066817e-7,8.40089590101664e-5,7.684243612858307
Ext1,14042,exostosin glycosyltransferase 1,-2.2059230435306967,5.180031416825632,-11.787786532302242,2.191024460392251e-7,8.40089590101664e-5,7.656615872486371
Gm3005,100040870,predicted gene 3005,-2.623816839251965,2.839685291927533,-11.755302741495479,2.2511858498941187e-7,8.40089590101664e-5,7.650767069480651
H1f0,14958,H1.0 linker histone,-2.2029922334196037,5.16236238334703,-11.636337480135737,2.487355947510523e-7,9.017020646289577e-5,7.530232677293688
Krt83,100126226,keratin 83,-4.318410297498305,-0.1310426569666957,-11.526541405312326,2.7294037758174567e-7,9.553814394494762e-5,7.130495877317374
Gm2956,102640268,predicted gene 2956,-2.578656227301705,2.8654979790863457,-11.492926335115142,2.808546974852301e-7,9.553814394494762e-5,7.4352202227364455
Gm32966,102635694,"predicted gene, 32966",-2.4839642592305333,3.231330958472891,-11.46133772421671,2.8851998192581006e-7,9.553814394494762e-5,7.409748995599664
Zbtb7b,22724,zinc finger and BTB domain containing 7B,-3.453506860606496,3.612604928023381,-11.800290893748448,2.978768812839502e-7,9.553814394494762e-5,7.400851708422215
Sema4a,20351,"sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4A",2.248220974844987,7.410567722893189,11.401579992620642,3.0365105746225284e-7,9.553814394494762e-5,7.31599178617232
Gm3317,666329,predicted gene 3317,-2.5377416634331746,2.7369498276383566,-11.382275624858867,3.087219342483333e-7,9.553814394494762e-5,7.339231791747938
Cldnd2,74276,claudin domain containing 2,2.3453405392612616,3.8176549050277035,11.284403154774306,3.3588979827709045e-7,1.0147070858427913e-4,7.237321572483903
Slfn5,327978,schlafen 5,-1.9536429441016576,4.549452512675516,-11.225666099152408,3.5343618503605697e-07,1.042883329241277e-4,7.191966681214028
Ldhb,16832,lactate dehydrogenase B,-2.214920847378992,3.608076469605671,-11.143906626107684,3.7954133745640057e-7,1.0891928871202642e-4,7.134100677965858
Dgki,320127,"diacylglycerol kinase, iota",-2.1906058321267765,2.4566317726968423,-11.12373597302758,3.8629949495911005e-7,1.0891928871202642e-4,7.118224610736386
B4galnt4,330671,"beta-1,4-N-acetyl-galactosaminyl transferase 4",-3.362512425405745,3.2723996703614118,-11.374509281569024,4.1056027973786416e-7,1.1324323541987001e-4,7.080247287658418
Klrd1,16643,"killer cell lectin-like receptor, subfamily D, member 1",5.57671006081222,5.765713714133573,10.869736215099842,4.948980411788074e-7,1.3360141162716398e-4,6.457149102008769
Scml4,268297,Scm polycomb group protein like 4,1.4970958615594059,7.288766068681943,10.801052121184247,5.142696012610895e-7,1.35938597933348e-4,6.7683198029077545
Itgb8,320910,integrin beta 8,-3.8510608525234242,0.5348981852446459,-10.697358924467766,5.646692689023756e-7,1.4621476905782332e-4,6.630552127668965
Tnfsf8,21949,"tumor necrosis factor (ligand) superfamily, member 8",-2.2906668175544933,6.958579778860831,-10.456130228789679,7.19778664965352e-7,1.8265103402160773e-4,6.442809849098532
Galm,319625,galactose mutarotase,-1.3328850999830086,4.023033639976694,-10.381999702467727,7.539730012561467e-7,1.875766556850586e-4,6.4045416179683325
Ces2c,234671,carboxylesterase 2C,-2.197533599293574,2.76085990313678,-10.295111119448848,8.175479618986891e-7,1.9948170270328014e-4,6.349549808177303
Ppp3ca,19055,"protein phosphatase 3, catalytic subunit, alpha isoform",1.4342107487508997,5.847328553694704,10.245862903500823,8.561514685531491e-7,2.049594308113652e-4,6.278126652848787
Rgs10,67865,regulator of G-protein signalling 10,-2.215292317108803,6.742238898629111,-10.225387383909329,8.919179044134906e-7,2.0956767354071053e-4,6.217489583496738
Haao,107766,"3-hydroxyanthranilate 3,4-dioxygenase",3.4953167224937096,4.386270016147879,10.177306957248618,9.132247749415545e-7,2.1067265353560805e-4,6.165117099360366
Cc2d2a,231214,coiled-coil and C2 domain containing 2A,-3.0006735863741674,1.2259220456155042,-10.1330586926547,9.52249594012127e-7,2.1312260888276606e-4,6.20587402476243
Sh3rf2,269016,SH3 domain containing ring finger 2,-2.189309827231254,1.7195360850550223,-10.11375258632278,9.698411917607659e-7,2.1312260888276606e-4,6.206254661737049
Chn1,108699,chimerin 1,-2.601087636325275,0.984350229835266,-10.108988406525624,9.742363899117616e-7,2.1312260888276606e-4,6.203853826786533
Fhad1,329977,forkhead-associated (FHA) phosphopeptide binding domain 1,-3.8665656344682415,0.908033475370294,-10.068505475588374,1.0124692179951569e-6,2.177323633546195e-4,6.056405361105974
Slfn5_1,NA,NA,-2.0015979084671067,2.8595162856414427,-10.016777641885225,1.0637121345365029e-6,2.2493965938331914e-4,6.1242071016754664
Ccr4,12773,chemokine (C-C motif) receptor 4,-2.1528695189427425,2.8358187714642478,-9.990926069982816,1.0903714668438424e-6,2.267972651035192e-4,6.099696096690384
Sepp1,NA,NA,-1.5332257699541252,6.13042720826463,-9.958783513545072,1.1245351434958202e-6,2.2750769560974814e-4,5.9688634701038374
Calhm2,72691,calcium homeostasis modulator family member 2,-1.6180466494370802,3.6158383242077194,-9.954063721814446,1.129648866914733e-6,2.2750769560974814e-4,6.0311373256518355
Usp11,236733,ubiquitin specific peptidase 11,1.6286980147333132,5.941657044619387,9.925555814276064,1.1610782225840281e-6,2.3018375762728357e-4,5.970204660160936
Gm10340,100040697,predicted gene 10340,-2.4833443892086366,1.7576925389124038,-9.908098299277919,1.180792798626944e-6,2.3049075429197946e-4,6.0095309647659505
Slc1a4,55963,"solute carrier family 1 (glutamate/neutral amino acid transporter), member 4",-3.1276515017780695,1.587578648589989,-9.810325472027518,1.298146135551596e-6,2.413168233224813e-4,5.92531544478841
Slfn5_2,NA,NA,-2.0085156297610696,3.1827613386555,-9.807891798139124,1.3012242226737877e-6,2.413168233224813e-4,5.926781365231167
Kif13a,16553,kinesin family member 13A,-2.1964289594038435,3.1484537899413136,-9.804260035085504,1.305832389729258e-6,2.413168233224813e-4,5.888703661904965
Gm3500,100041678,predicted gene 3500,-2.1916885728106843,2.313206502654374,-9.799161656484337,1.312331400476924e-6,2.413168233224813e-4,5.918979546882982
Chsy1,269941,chondroitin sulfate synthase 1,2.078379871078818,6.901726416925772,9.773600303638293,1.3735305013471895e-6,2.489622143013306e-4,5.762375224268875
Tnfsf11,21943,"tumor necrosis factor (ligand) superfamily, member 11",-2.9287432147245545,4.376732740944776,-10.12667585777614,1.4175639428884718e-6,2.5332466630097086e-4,5.816524509230602
Lmo4,16911,LIM domain only 4,-2.269745018968389,4.163309727382789,-9.593445486519492,1.606256617768325e-6,2.7344031951486965e-4,5.6756670086504695
Rnf128,66889,ring finger protein 128,-2.4275508815998013,1.266553711245301,-9.587548363680378,1.6156732889041574e-6,2.7344031951486965e-4,5.715411440427597
Gm3239,100041262,predicted gene 3239,-2.278523934609269,2.7714552439711073,-9.583786040416932,1.6217123607038785e-6,2.7344031951486965e-4,5.701667664694332
Hap1,15114,huntingtin-associated protein 1,-5.515705221131562,-0.6185900103262139,-9.575330414983052,1.635374466126303e-6,2.7344031951486965e-4,5.256043068784567
Cyth4,72318,cytohesin 4,1.5492916566951749,6.844921107953154,9.573506496926688,1.6383377968311705e-6,2.7344031951486965e-4,5.571097562765651
Fbn2,14119,fibrillin 2,-6.111634689728909,-0.19017431570971566,-9.896944335924333,1.6594344737267466e-6,2.7344031951486965e-4,5.47021157045499
LOC101055754,NA,NA,-2.278782909410161,2.423419773048826,-9.441659671708118,1.8688012051653263e-6,3.0399166270689303e-4,5.5709938101340875
Sqrdl,NA,NA,-2.0462032593960955,2.665506942751782,-9.415521127958728,1.9185430824270564e-6,3.081325902510695e-4,5.528790477313539
Ccdc141,545428,coiled-coil domain containing 141,-1.8987825884807066,2.2132335710791673,-9.381128173284498,1.9861941978946296e-6,3.148496791021027e-4,5.502445647147962
Tspan32,27027,tetraspanin 32,-1.8468078646083308,6.215830781156974,-9.369329211964995,2.0099955869538397e-6,3.148496791021027e-4,5.370105704686058
Spsb1,74646,splA/ryanodine receptor domain and SOCS box containing 1,-2.1983496971910252,2.9166281632536495,-9.341889362323238,2.0665538869646325e-6,3.164386262167235e-4,5.473555610639936
Gm2897,100040671,predicted gene 2897,-1.8916355187248879,3.434580434258887,-9.337358447897778,2.0760578788432766e-6,3.164386262167235e-4,5.419938804594532
Gm26650,105245668,"predicted gene, 26650",-2.263173951957171,1.659821127948056,-9.328413894343248,2.0949593791144998e-6,3.164386262167235e-4,5.447762820398646
Tshz2,228911,teashirt zinc finger family member 2,-2.475950225528023,1.6130901542227274,-9.233781552784764,2.306780012153105e-6,3.4433440934351293e-4,5.362502589358653
Smox,228608,spermine oxidase,-1.5635874949929267,4.172187236392924,-9.189526643204156,2.4137157953898127e-6,3.5094942167288935e-4,5.231692330023945
Gm3173,100169868,predicted gene 3173,-1.868430555015558,3.0739589599994717,-9.177366764070438,2.444031641577491e-6,3.5094942167288935e-4,5.274786359889621
Stard5,170460,StAR-related lipid transfer (START) domain containing 5,-1.5229016922010468,3.892548304822773,-9.168486313313396,2.4664323977486817e-6,3.5094942167288935e-4,5.247389895392863
Ltk,17005,leukocyte tyrosine kinase,1.9141765581936974,4.555487015893534,9.161662829615404,2.4837957757930522e-6,3.5094942167288935e-4,5.2482184698324295
Tiam1,21844,T cell lymphoma invasion and metastasis 1,-1.6553286303181833,6.712891207453235,-9.150431351257193,2.5126653445092643e-6,3.5094942167288935e-4,5.142052453686379
Plekhg3,263406,"pleckstrin homology domain containing, family G (with RhoGef domain) member 3",-1.8901224654957867,3.793824527389619,-9.148735747911775,2.5170552783916246e-6,3.5094942167288935e-4,5.24868771516756
Tbc1d4,210789,"TBC1 domain family, member 4",-1.9619213000020972,6.774292867302343,-9.133597986678721,2.556617767028359e-6,3.5160361567836834e-4,5.149581568144244
Arhgap5,11855,Rho GTPase activating protein 5,-1.8427947851430297,3.386867072254682,-9.125833953140939,2.577170259937599e-6,3.5160361567836834e-4,5.216896706775031
